DateKey,Date,FullDateUK,FullDateUSA,DayOfMonth,DaySuffix,DayName,DayOfWeekUSA,DayOfWeekUK,DayOfWeekInMonth,DayOfWeekInYear,DayOfQuarter,DayOfYear,WeekOfMonth,WeekOfQuarter,WeekOfYear,Month,MonthName,MonthOfQuarter,Quarter,QuarterName,Year,YearName,MonthYear,MMYYYY,FirstDayOfMonth,LastDayOfMonth,FirstDayOfQuarter,LastDayOfQuarter,FirstDayOfYear,LastDayOfYear,IsHolidayUSA,IsWeekday,HolidayUSA,IsHolidayUK,HolidayUK
20210101,2021-01-01 00:00:00,01/01/2021,01/01/2021,1,1st,Friday,6,5,1,1,1,1,1,1,1,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,True,True,New Year's Day,True,New Year's Day
20210102,2021-01-02 00:00:00,02/01/2021,01/02/2021,2,2nd,Saturday,7,6,1,1,1,2,1,1,1,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210103,2021-01-03 00:00:00,03/01/2021,01/03/2021,3,3rd,Sunday,1,7,1,1,1,3,2,1,2,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210104,2021-01-04 00:00:00,04/01/2021,01/04/2021,4,4th,Monday,2,1,1,1,1,4,2,1,2,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210105,2021-01-05 00:00:00,05/01/2021,01/05/2021,5,5th,Tuesday,3,2,1,1,1,5,2,1,2,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210106,2021-01-06 00:00:00,06/01/2021,01/06/2021,6,6th,Wednesday,4,3,1,1,1,6,2,1,2,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210107,2021-01-07 00:00:00,07/01/2021,01/07/2021,7,7th,Thursday,5,4,1,1,1,7,2,1,2,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210108,2021-01-08 00:00:00,08/01/2021,01/08/2021,8,8th,Friday,6,5,2,2,2,8,2,2,2,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,True,,False,
20210109,2021-01-09 00:00:00,09/01/2021,01/09/2021,9,9th,Saturday,7,6,2,2,2,9,2,2,2,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
20210110,2021-01-10 00:00:00,10/01/2021,01/10/2021,10,10th,Sunday,1,7,2,2,2,10,3,2,3,1,January,1,1,First,2021,CY 2021,Jan-2021  ,012021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,False,False,,False,
