"id_factura","cantidad_vendida","precio_unitario_historico","ingresos_linea","llave_fecha","id_track_original","nombre_cancion","album","artista","genero_actual","genero_anterior","registro_activo"
1,1,0.99,0.99,20210101,2,"Balls to the Wall","Balls to the Wall","Accept","Rock","","T"
1,1,0.99,0.99,20210101,4,"Restless and Wild","Restless and Wild","Accept","Rock","","T"
2,1,0.99,0.99,20210102,6,"Put The Finger On You","For Those About To Rock We Salute You","AC/DC","Rock","","T"
2,1,0.99,0.99,20210102,8,"Inject The Venom","For Those About To Rock We Salute You","AC/DC","Rock","","T"
2,1,0.99,0.99,20210102,10,"Evil Walks","For Those About To Rock We Salute You","AC/DC","Rock","","T"
2,1,0.99,0.99,20210102,12,"Breaking The Rules","For Those About To Rock We Salute You","AC/DC","Rock","","T"
3,1,0.99,0.99,20210103,16,"Dog Eat Dog","Let There Be Rock","AC/DC","Rock","","T"
3,1,0.99,0.99,20210103,20,"Overdose","Let There Be Rock","AC/DC","Rock","","T"
3,1,0.99,0.99,20210103,24,"Love In An Elevator","Big Ones","Aerosmith","Rock","","T"
3,1,0.99,0.99,20210103,28,"Janie's Got A Gun","Big Ones","Aerosmith","Rock","","T"
3,1,0.99,0.99,20210103,32,"Deuces Are Wild","Big Ones","Aerosmith","Rock","","T"
3,1,0.99,0.99,20210103,36,"Angel","Big Ones","Aerosmith","Rock","","T"
4,1,0.99,0.99,20210106,42,"Right Through You","Jagged Little Pill","Alanis Morissette","Rock","","T"
4,1,0.99,0.99,20210106,48,"Not The Doctor","Jagged Little Pill","Alanis Morissette","Rock","","T"
4,1,0.99,0.99,20210106,54,"Bleed The Freak","Facelift","Alice In Chains","Rock","","T"
4,1,0.99,0.99,20210106,60,"Confusion","Facelift","Alice In Chains","Rock","","T"
4,1,0.99,0.99,20210106,66,"Por Causa De Voc�","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","","T"
4,1,0.99,0.99,20210106,72,"Angela","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","","T"
4,1,0.99,0.99,20210106,78,"Master Of Puppets","Plays Metallica By Four Cellos","Apocalyptica","Metal","","T"
4,1,0.99,0.99,20210106,84,"Welcome Home (Sanitarium)","Plays Metallica By Four Cellos","Apocalyptica","Metal","","T"
4,1,0.99,0.99,20210106,90,"Set It Off","Audioslave","Audioslave","Rock","","T"
5,1,0.99,0.99,20210111,99,"Your Time Has Come","Out Of Exile","Audioslave","Alternative & Punk","","T"
5,1,0.99,0.99,20210111,108,"Dandelion","Out Of Exile","Audioslave","Alternative & Punk","","T"
5,1,0.99,0.99,20210111,117,"Rock 'N' Roll Music","BackBeat Soundtrack","BackBeat","Rock And Roll","","T"
5,1,0.99,0.99,20210111,126,"Moon germs","The Best Of Billy Cobham","Billy Cobham","Jazz","","T"
5,1,0.99,0.99,20210111,135,"Super Terrorizer","Alcohol Fueled Brewtality Live! [Disc 1]","Black Label Society","Metal","","T"
5,1,0.99,0.99,20210111,144,"Heart Of Gold","Alcohol Fueled Brewtality Live! [Disc 2]","Black Label Society","Metal","","T"
5,1,0.99,0.99,20210111,153,"Evil Woman","Black Sabbath","Black Sabbath","Metal","","T"
5,1,0.99,0.99,20210111,162,"Cornucopia","Black Sabbath Vol. 4 (Remaster)","Black Sabbath","Metal","","T"
5,1,0.99,0.99,20210111,171,"Bowels Of The Devil","Body Count","Body Count","Alternative & Punk","","T"
5,1,0.99,0.99,20210111,180,"Body Count Anthem","Body Count","Body Count","Alternative & Punk","","T"
5,1,0.99,0.99,20210111,189,"Jerusalem","Chemical Wedding","Bruce Dickinson","Metal","","T"
5,1,0.99,0.99,20210111,198,"When My Left Eye Jumps","The Best Of Buddy Guy - The Millenium Collection","Buddy Guy","Blues","","T"
5,1,0.99,0.99,20210111,207,"Medita��o","Prenda Minha","Caetano Veloso","Latin","","T"
5,1,0.99,0.99,20210111,216,"Esse Cara","Prenda Minha","Caetano Veloso","Latin","","T"
6,1,0.99,0.99,20210119,230,"Bye Bye Brasil","Minha Historia","Chico Buarque","Latin","","T"
7,1,0.99,0.99,20210201,231,"Atras Da Porta","Minha Historia","Chico Buarque","Latin","","T"
7,1,0.99,0.99,20210201,232,"Tatuagem","Minha Historia","Chico Buarque","Latin","","T"
8,1,0.99,0.99,20210201,234,"Morena De Angola","Minha Historia","Chico Buarque","Latin","","T"
8,1,0.99,0.99,20210201,236,"A Banda","Minha Historia","Chico Buarque","Latin","","T"
9,1,0.99,0.99,20210202,238,"Com A��car E Com Afeto","Minha Historia","Chico Buarque","Latin","","T"
9,1,0.99,0.99,20210202,240,"Meu Caro Amigo","Minha Historia","Chico Buarque","Latin","","T"
9,1,0.99,0.99,20210202,242,"Trocando Em Mi�dos","Minha Historia","Chico Buarque","Latin","","T"
9,1,0.99,0.99,20210202,244,"Gota D'�gua","Minha Historia","Chico Buarque","Latin","","T"
10,1,0.99,0.99,20210203,248,"Etnia","Afrociberdelia","Chico Science & Na��o Zumbi","Latin","","T"
10,1,0.99,0.99,20210203,252,"Samba Do Lado","Afrociberdelia","Chico Science & Na��o Zumbi","Latin","","T"
10,1,0.99,0.99,20210203,256,"Sobremesa","Afrociberdelia","Chico Science & Na��o Zumbi","Latin","","T"
10,1,0.99,0.99,20210203,260,"Sangue De Bairro","Afrociberdelia","Chico Science & Na��o Zumbi","Latin","","T"
10,1,0.99,0.99,20210203,264,"Amor De Muito","Afrociberdelia","Chico Science & Na��o Zumbi","Latin","","T"
10,1,0.99,0.99,20210203,268,"Maracatu At�mico [Trip Hop]","Afrociberdelia","Chico Science & Na��o Zumbi","Latin","","T"
11,1,0.99,0.99,20210206,274,"Samba Makossa","Da Lama Ao Caos","Chico Science & Na��o Zumbi","Latin","","T"
11,1,0.99,0.99,20210206,280,"Lixo Do Mangue","Da Lama Ao Caos","Chico Science & Na��o Zumbi","Latin","","T"
11,1,0.99,0.99,20210206,286,"Firmamento","Ac�stico MTV [Live]","Cidade Negra","Reggae","","T"
11,1,0.99,0.99,20210206,292,"J� Foi","Ac�stico MTV [Live]","Cidade Negra","Reggae","","T"
11,1,0.99,0.99,20210206,298,"A Cor Do Sol","Ac�stico MTV [Live]","Cidade Negra","Reggae","","T"
11,1,0.99,0.99,20210206,304,"Firmamento","Cidade Negra - Hits","Cidade Negra","Reggae","","T"
11,1,0.99,0.99,20210206,310,"S�bado A Noite","Cidade Negra - Hits","Cidade Negra","Reggae","","T"
11,1,0.99,0.99,20210206,316,"Linha Do Equador","Na Pista","Cl�udio Zoli","Latin","","T"
11,1,0.99,0.99,20210206,322,"Livre Pra Viver","Na Pista","Cl�udio Zoli","Latin","","T"
12,1,0.99,0.99,20210211,331,"Lavadeira","Ax� Bahia 2001","Various Artists","Pop","","T"
12,1,0.99,0.99,20210211,340,"Dazed and Confused","BBC Sessions [Disc 1] [Live]","Led Zeppelin","Rock","","T"
12,1,0.99,0.99,20210211,349,"You Shook Me(2)","BBC Sessions [Disc 1] [Live]","Led Zeppelin","Rock","","T"
